,title,overall_review,pros,cons,since,date,rating
0,Solid,"
Overall Review:
            Buy it you will not regret this purchase
        ","
Pros:
                reliable  fast  silent , cool  running drive highly recommend
            ",,Ownership: more than 1 year,12/5/2019 12:58:58 PM,5
1,Nice drive for price (even cheaper by todays costs),"
Overall Review:
            Good drive/price.
        ","
Pros:
                Been running almost constantly since when I purchased it 24x7x365 with random power outages. No issues to date with it. Will buy Samsung EVO's in future builds.
            ",,Ownership: more than 1 year,11/1/2019 8:25:45 AM,5
2,Perfect,"
Overall Review:
            Used this drive as my boot drive and only data storage on my previous build and now, 4 years later, I'm using it as my new rig's game library. CrystalDisk still shows it at 100%, and it's still plenty fast vs. the new 860 EVO. Can't go wrong with this one.
        ","
Pros:
                - Good value- Decently fast- Good longevity
            ","
Cons:
                -none so far
            ",Ownership: more than 1 year,10/27/2019 5:05:49 PM,5
3,Very Snappy,"
Overall Review:
            OS boots quicker.  OS menus pop up quicker.  Gaming load screens go quicker.
        ","
Pros:
                Noticeable improvement in OS performance over a spinning drive.
            ","
Cons:
                Samsung Magician software causes some games to fail to launch if you leave it running in the background.
            ",Ownership: more than 1 year,10/24/2019 6:29:43 PM,5
4,Worth the hype,"
Overall Review:
            This was the SDD that everyone said to get and it has yet to disappoint. It is super speedy and has given me no troubles.
        ",,,Ownership: more than 1 year,9/11/2019 7:21:03 PM,5
5,Good price,"
Overall Review:
            Dont be shy about this buy
        ","
Pros:
                Fast and easy install, great price
            ","
Cons:
                non
            ",Ownership: more than 1 year,8/26/2019 3:38:16 PM,5
6,Ssd strong,,"
Pros:
                Its still working!
            ","
Cons:
                Its a little on the expensive side. Hoping the price drops so i can get a 1T
            ",Ownership: more than 1 year,7/27/2019 4:52:12 AM,5
7,It Died,"
Overall Review:
            used this as a storage drive for steam games only.
        ","
Pros:
                It was a fast driveSamsung warranty honored
            ","
Cons:
                it died in 3 years
            ",Ownership: more than 1 year,4/27/2019 2:55:38 PM,4
8,SSD's are meh,"
Overall Review:
            I've been using Samsung electronics for years and have never been disappointed until now, and I'm very familiar with Samsung ssd's as well I currently have an 830 in my old alienware, but I decided to update to the new at the time V-nand in my laptop and replace the HDD in my wife's laptop. replacing her's went smooth it showed up in the bios and was able to install a clean copy of windows. however the second one for me was absolutely dead, I've tried to connect internally and with every usb port on both my laptop and her's and my buddies desktop and nothing, it doesn't appear in bios or device manager so be warned. its too late for RMA because I've been too busy to post a review or even contact anyone, I purchased both in 2017 and its now the end of April 2019 and that's on me.
        ","
Pros:
                lightning fast and reliable
            ","
Cons:
                ordered two and only one works
            ",Ownership: more than 1 year,4/21/2019 6:38:01 PM,3
9,Good SSD for Sata,"
Overall Review:
            I bought this for to replace a WD 1.5TB black HDD used to hold games. The reason behind moving my game storage from a HDD to an SSD was to decrease game load times. The 2nd reason was 1TB SSD’s are finally hitting a good price point. This review is late in coming I have owned this SSD for 2 years now. I ran CrysalDiskMark to perform the testing. Do to the speed of the drive I was not able to test its potential “real” data transfer speed. (as a note to the speed tests I am not sure why the newer 850 is slower than my older one) Samsung 850 EVO 1TB: Read 403 MB/s, Write 411 MB/s  (2017 model firmware EMT03B6Q)For ComparisonSamsung 860 Evo 256GB : Read 542 MB/s, Write 509 MB/s  (new drive in another computer)Samsung 850 Pro 512GB: Read 553 MB/s, Write 502 MB/s (2014 model firmware EXM04B6Q)Samsung 850 Evo 1TB:  Read 555 MB/s, Write 508 MB/s  (2014 Model firmware EMT02B6Q)WD Black NVMe 500GB: Read 3414 MB/s, Write 2543 MB/sWD Red 3TB WDEFRX: Read 135 MB/s, Write 128 MB/sEven though the newer drive is “slow” I am still happy with its performance. It is very close to the max speed of a sata III (6gbps) interface. I have the 2 Evo’s for my game libraries and the Pro for my OS. The EVO series in has a shorter expected life than the Pro series (fewer writes) which is why I am using it for my game library. I expect to only install and not uninstall games regularly, while the OS drives tend to do more writes. I am also using a standard HDD the WD Red 3tb for my mass storage like pictures, docs, and music.
        ","
Pros:
                Runs at 30 degrees C so nice and coolQuiet like all SSD'sStill fast compared to HDD's.
            ","
Cons:
                A little slow for some reason see other section.
            ",Ownership: more than 1 year,4/3/2019 8:28:24 AM,5
10,AMZING PRICE,"
Overall Review:
            A fast drive at a great price, no excuse not to upgrade. A little big, but I guess it's to keep to same form factor for bay install. Very saitsfied of my purchase.
        ","
Pros:
                Fast and Great price/performance ratio
            ","
Cons:
                Size
            ",Ownership: more than 1 year,3/25/2019 1:16:07 PM,5
11,SSDs overrated,"
Overall Review:
            Would not recommend any SSD for anything you want to have around.
        ","
Pros:
                none
            ","
Cons:
                Dead after 80 days
            ",Ownership: more than 1 year,3/19/2019 3:47:37 PM,1
12,Love it!,"
Overall Review:
            Recommend 100%. Nothing to say!
        ","
Pros:
                So fast boyy
            ","
Cons:
                none
            ",Ownership: more than 1 year,3/7/2019 12:35:16 PM,5
13,Nothing Lasts,"
Overall Review:
            Trying to find a replacement that works in a long term seems like a joke anymore.
        ","
Pros:
                Meh
            ","
Cons:
                After 2 years of buying 2 of the 500Gb SSD, They are starting to die on me. The reason I know this is every other time I start up my rig, the screens show info on my desktop like everything is fine then I cant move my mouse or do anything. I also have wallpaper engine which is you can choose moving background images and they froze up and sometimes my other SSD dont show up half the time.
            ",Ownership: more than 1 year,2/27/2019 9:36:03 PM,2
14,A1 seller,,"
Pros:
                Works as should
            ","
Cons:
                No cons
            ",Ownership: more than 1 year,2/18/2019 3:57:00 PM,5
